./Data/mawps_train_bpe.csv
./Data/mawps_valid_bpe.csv
./Data/mawps_test_bpe.csv
| epoch   3 |    30/  105 batches | lr 20.00 | ms/batch 566.99 | loss  5.17 | ppl   176.70
| epoch   3 |    32/  105 batches | lr 20.00 | ms/batch 552.99 | loss  5.31 | ppl   202.46
| epoch   3 |    34/  105 batches | lr 20.00 | ms/batch 534.36 | loss  5.20 | ppl   180.93
| epoch   3 |    36/  105 batches | lr 20.00 | ms/batch 539.92 | loss  5.12 | ppl   166.92
| epoch   3 |    38/  105 batches | lr 20.00 | ms/batch 529.58 | loss  5.25 | ppl   190.43
| epoch   3 |    40/  105 batches | lr 20.00 | ms/batch 537.81 | loss  5.15 | ppl   172.81
| epoch   3 |    42/  105 batches | lr 20.00 | ms/batch 535.61 | loss  5.25 | ppl   191.38
| epoch   3 |    44/  105 batches | lr 20.00 | ms/batch 535.64 | loss  5.20 | ppl   180.44
| epoch   3 |    46/  105 batches | lr 20.00 | ms/batch 557.11 | loss  5.25 | ppl   191.50
| epoch   3 |    48/  105 batches | lr 20.00 | ms/batch 543.51 | loss  5.18 | ppl   177.46
| epoch   3 |    50/  105 batches | lr 20.00 | ms/batch 538.65 | loss  5.08 | ppl   161.22
| epoch   3 |    52/  105 batches | lr 20.00 | ms/batch 551.42 | loss  5.24 | ppl   189.61
| epoch   3 |    54/  105 batches | lr 20.00 | ms/batch 535.08 | loss  5.18 | ppl   178.20
| epoch   3 |    56/  105 batches | lr 20.00 | ms/batch 528.02 | loss  4.95 | ppl   140.65
| epoch   3 |    58/  105 batches | lr 20.00 | ms/batch 540.41 | loss  4.91 | ppl   135.35
| epoch   3 |    60/  105 batches | lr 20.00 | ms/batch 528.36 | loss  5.02 | ppl   150.84
| epoch   3 |    62/  105 batches | lr 20.00 | ms/batch 550.06 | loss  4.88 | ppl   131.83
| epoch   3 |    64/  105 batches | lr 20.00 | ms/batch 536.68 | loss  4.91 | ppl   136.03
| epoch   3 |    66/  105 batches | lr 20.00 | ms/batch 541.00 | loss  4.80 | ppl   121.18
| epoch   3 |    68/  105 batches | lr 20.00 | ms/batch 538.29 | loss  4.87 | ppl   130.33
| epoch   3 |    70/  105 batches | lr 20.00 | ms/batch 537.77 | loss  4.84 | ppl   126.89
| epoch   3 |    72/  105 batches | lr 20.00 | ms/batch 555.21 | loss  4.74 | ppl   114.02
| epoch   3 |    74/  105 batches | lr 20.00 | ms/batch 537.58 | loss  4.80 | ppl   121.17
| epoch   3 |    76/  105 batches | lr 20.00 | ms/batch 534.87 | loss  5.03 | ppl   152.55
| epoch   3 |    78/  105 batches | lr 20.00 | ms/batch 555.11 | loss  4.93 | ppl   138.52
| epoch   3 |    80/  105 batches | lr 20.00 | ms/batch 543.97 | loss  4.73 | ppl   113.50
| epoch   3 |    82/  105 batches | lr 20.00 | ms/batch 539.89 | loss  4.95 | ppl   140.79
| epoch   3 |    84/  105 batches | lr 20.00 | ms/batch 539.92 | loss  4.70 | ppl   109.78
| epoch   3 |    86/  105 batches | lr 20.00 | ms/batch 548.30 | loss  4.77 | ppl   117.91
| epoch   3 |    88/  105 batches | lr 20.00 | ms/batch 541.63 | loss  4.86 | ppl   128.90
| epoch   3 |    90/  105 batches | lr 20.00 | ms/batch 529.02 | loss  5.05 | ppl   155.41
| epoch   3 |    92/  105 batches | lr 20.00 | ms/batch 550.30 | loss  4.89 | ppl   133.40
| epoch   3 |    94/  105 batches | lr 20.00 | ms/batch 532.77 | loss  4.72 | ppl   111.74
| epoch   3 |    96/  105 batches | lr 20.00 | ms/batch 554.31 | loss  4.75 | ppl   116.13
| epoch   3 |    98/  105 batches | lr 20.00 | ms/batch 546.66 | loss  4.59 | ppl    98.10
| epoch   3 |   100/  105 batches | lr 20.00 | ms/batch 542.82 | loss  4.53 | ppl    92.42
| epoch   3 |   102/  105 batches | lr 20.00 | ms/batch 545.91 | loss  4.71 | ppl   111.44
| epoch   3 |   104/  105 batches | lr 20.00 | ms/batch 538.68 | loss  4.72 | ppl   111.67
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 59.80s | valid loss  4.93 | valid ppl   138.45
-----------------------------------------------------------------------------------------
| epoch   4 |     2/  105 batches | lr 20.00 | ms/batch 809.26 | loss  7.08 | ppl  1183.67
| epoch   4 |     4/  105 batches | lr 20.00 | ms/batch 544.21 | loss  4.68 | ppl   107.48
| epoch   4 |     6/  105 batches | lr 20.00 | ms/batch 543.27 | loss  4.61 | ppl   100.35
| epoch   4 |     8/  105 batches | lr 20.00 | ms/batch 535.62 | loss  4.73 | ppl   113.62
| epoch   4 |    10/  105 batches | lr 20.00 | ms/batch 528.28 | loss  4.60 | ppl    99.14
| epoch   4 |    12/  105 batches | lr 20.00 | ms/batch 538.15 | loss  4.63 | ppl   102.46
| epoch   4 |    14/  105 batches | lr 20.00 | ms/batch 538.41 | loss  4.74 | ppl   114.48
| epoch   4 |    16/  105 batches | lr 20.00 | ms/batch 527.11 | loss  4.56 | ppl    95.32
| epoch   4 |    18/  105 batches | lr 20.00 | ms/batch 528.49 | loss  4.59 | ppl    98.28
| epoch   4 |    20/  105 batches | lr 20.00 | ms/batch 534.75 | loss  4.64 | ppl   103.13
| epoch   4 |    22/  105 batches | lr 20.00 | ms/batch 542.83 | loss  4.41 | ppl    82.06
| epoch   4 |    24/  105 batches | lr 20.00 | ms/batch 545.52 | loss  4.37 | ppl    78.95
| epoch   4 |    26/  105 batches | lr 20.00 | ms/batch 532.48 | loss  4.36 | ppl    78.55
| epoch   4 |    28/  105 batches | lr 20.00 | ms/batch 538.89 | loss  4.57 | ppl    96.31
| epoch   4 |    30/  105 batches | lr 20.00 | ms/batch 556.37 | loss  4.47 | ppl    87.49
| epoch   4 |    32/  105 batches | lr 20.00 | ms/batch 550.41 | loss  4.53 | ppl    92.78
| epoch   4 |    34/  105 batches | lr 20.00 | ms/batch 546.78 | loss  4.50 | ppl    90.13
| epoch   4 |    36/  105 batches | lr 20.00 | ms/batch 551.63 | loss  4.30 | ppl    74.04
| epoch   4 |    38/  105 batches | lr 20.00 | ms/batch 548.10 | loss  4.51 | ppl    90.47
| epoch   4 |    40/  105 batches | lr 20.00 | ms/batch 538.55 | loss  4.47 | ppl    87.05
| epoch   4 |    42/  105 batches | lr 20.00 | ms/batch 544.17 | loss  4.48 | ppl    88.33
| epoch   4 |    44/  105 batches | lr 20.00 | ms/batch 533.20 | loss  4.52 | ppl    91.44
| epoch   4 |    46/  105 batches | lr 20.00 | ms/batch 553.54 | loss  4.57 | ppl    96.65
| epoch   4 |    48/  105 batches | lr 20.00 | ms/batch 532.66 | loss  4.55 | ppl    94.43
| epoch   4 |    50/  105 batches | lr 20.00 | ms/batch 536.20 | loss  4.38 | ppl    79.88
| epoch   4 |    52/  105 batches | lr 20.00 | ms/batch 529.08 | loss  4.67 | ppl   106.66
| epoch   4 |    54/  105 batches | lr 20.00 | ms/batch 535.32 | loss  4.55 | ppl    94.56
| epoch   4 |    56/  105 batches | lr 20.00 | ms/batch 540.58 | loss  4.29 | ppl    72.63
| epoch   4 |    58/  105 batches | lr 20.00 | ms/batch 530.72 | loss  4.27 | ppl    71.84
| epoch   4 |    60/  105 batches | lr 20.00 | ms/batch 532.94 | loss  4.31 | ppl    74.48
| epoch   4 |    62/  105 batches | lr 20.00 | ms/batch 531.91 | loss  4.26 | ppl    70.65
| epoch   4 |    64/  105 batches | lr 20.00 | ms/batch 543.05 | loss  4.26 | ppl    71.04
| epoch   4 |    66/  105 batches | lr 20.00 | ms/batch 538.66 | loss  4.18 | ppl    65.52
| epoch   4 |    68/  105 batches | lr 20.00 | ms/batch 551.42 | loss  4.29 | ppl    73.16
| epoch   4 |    70/  105 batches | lr 20.00 | ms/batch 538.17 | loss  4.23 | ppl    68.89
| epoch   4 |    72/  105 batches | lr 20.00 | ms/batch 538.28 | loss  4.01 | ppl    55.33
| epoch   4 |    74/  105 batches | lr 20.00 | ms/batch 544.63 | loss  4.13 | ppl    62.15
| epoch   4 |    76/  105 batches | lr 20.00 | ms/batch 534.98 | loss  4.48 | ppl    87.91
| epoch   4 |    78/  105 batches | lr 20.00 | ms/batch 533.64 | loss  4.27 | ppl    71.51
| epoch   4 |    80/  105 batches | lr 20.00 | ms/batch 532.60 | loss  4.15 | ppl    63.46
| epoch   4 |    82/  105 batches | lr 20.00 | ms/batch 539.17 | loss  4.30 | ppl    73.76
| epoch   4 |    84/  105 batches | lr 20.00 | ms/batch 566.19 | loss  4.02 | ppl    55.74
| epoch   4 |    86/  105 batches | lr 20.00 | ms/batch 542.97 | loss  4.20 | ppl    66.86
| epoch   4 |    88/  105 batches | lr 20.00 | ms/batch 547.97 | loss  4.26 | ppl    70.65
| epoch   4 |    90/  105 batches | lr 20.00 | ms/batch 557.73 | loss  4.36 | ppl    78.49
| epoch   4 |    92/  105 batches | lr 20.00 | ms/batch 543.35 | loss  4.35 | ppl    77.50
| epoch   4 |    94/  105 batches | lr 20.00 | ms/batch 545.30 | loss  4.16 | ppl    64.04
| epoch   4 |    96/  105 batches | lr 20.00 | ms/batch 540.24 | loss  4.08 | ppl    59.02
| epoch   4 |    98/  105 batches | lr 20.00 | ms/batch 534.63 | loss  3.98 | ppl    53.69
| epoch   4 |   100/  105 batches | lr 20.00 | ms/batch 539.75 | loss  3.96 | ppl    52.37
| epoch   4 |   102/  105 batches | lr 20.00 | ms/batch 547.70 | loss  4.18 | ppl    65.45
| epoch   4 |   104/  105 batches | lr 20.00 | ms/batch 545.48 | loss  4.14 | ppl    62.87
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 59.90s | valid loss  4.41 | valid ppl    82.35
-----------------------------------------------------------------------------------------
| epoch   5 |     2/  105 batches | lr 20.00 | ms/batch 868.25 | loss  6.12 | ppl   453.11
| epoch   5 |     4/  105 batches | lr 20.00 | ms/batch 552.09 | loss  4.17 | ppl    64.53
| epoch   5 |     6/  105 batches | lr 20.00 | ms/batch 558.07 | loss  4.06 | ppl    57.92
| epoch   5 |     8/  105 batches | lr 20.00 | ms/batch 549.43 | loss  4.21 | ppl    67.56
| epoch   5 |    10/  105 batches | lr 20.00 | ms/batch 543.47 | loss  4.04 | ppl    57.03
| epoch   5 |    12/  105 batches | lr 20.00 | ms/batch 527.03 | loss  4.05 | ppl    57.50
-----------------------------------------------------------------------------------------
Exiting from training early
=========================================================================================
| End of training | test loss  3.84 | test ppl    46.31
=========================================================================================
